year,year.start,month.start,year.end,month.end,region,district,location,cases.reported,cases.confirmed,deaths.reported,case.ref,refs,diagnostic,cycle.suspected,vaccination.reactive,outbreak.origin,season.start,cycle.reason,notes,links
1996,1996,11,1996,12,Northern; Upper East,"Upper East (Bawku East, Bolgatanga, Builsa, Kassena-Nankana, Bawku West and Bongo districts); Northern (East and West Mamprusi districts)",Garu,27,,5,WHO Vainio 1998; WER7149; WER7346,WER7346,,,,1,dry,"multiple cases in urban area, underwent vector control","""In November 1996, the routine reporting system revealed a dramatic increase in deaths among children with jaundice in Bawku hospital, Bawku East district in the Upper East region. Initially 27 cases with 5 deaths (CFR, 18%) were reported, all of them aged < 5. Many lived in the subdistrict of Garu.""",
1997,,,,,Northern; Upper East,,,6,,0,WHO 2005,WHO_CDS_CSR_ISR_2000,,,,,,,,
1998,,,,,,,,0,,0,WHO 2005,WHO_CDS_CSR_ISR_2000,,,,,,,,
1999,,,,,,,,0,,0,WHO 2005,,,,,,,,,
2000,,,,,,,,0,,0,WHO 2005,,,,,,,,,
2001,2001,2,2001,2,Upper East,Bawku Municipal,,1,,1,WHO 2005,Promed,,,,1,,,,
2002,,,,,,,,7,,0,WHO 2005,,,,,,,,,
2003,,,,,,,,,,,WHO 2005,,,,,,,,,
2004,,,,,,,,1,,0,WER8029,Promed,,,,,,,,
2005,2005,1,2005,1,Upper West,Jirapa,,2,,0,WER8133,,,,,1,,,,
2005,2005,6,2005,6,Ashanti,Atwima Mponua,,1,,0,WER8133,,,,,,,,,
2006,2006,10,2006,10,Bono East,Sene East,"Kountaya
village; Kajaji Health Center",1,,0,WER8308 ,,,sylvatic,1,,rainy,single case in village near forest ,,
2007,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2011,2011,8,,,Northern Region,Sawla-Tuna-Kalba,Dikatami,1,,1,Promed,,,,,,,,,https://www.modernghana.com/news/394946/new-case-of-yellow-fever-confirmed-in-nr.html
2011,,,,,Upper East,Builsa North,,1,,,https://www.who.int/emergencies/disease-outbreak-news/item/2012_02_03b-en/,,,,,,,,,
2011,,,,,Bono East,Kitampo South,,1,,,https://www.who.int/emergencies/disease-outbreak-news/item/2012_02_03b-en/,,,,,,,,,
2011,2011,10,,,Upper East,Kasena Nankana West,Sandema Hospital,1,,,https://www.who.int/emergencies/disease-outbreak-news/item/2012_02_03b-en/,WER8828,,sylvatic/savanna,,1,,index case went to a farm in a forest border,,
2012,,,,,,,,31,,,WER8828,,,,,,,,,
2013,2013,2,2013,4,Upper West,Jirapa,Jirapa ,11,,3,Promed,,,,,1,dry,,,
2014,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,0,,0,WER9132,,,,,,,,,
2016,2016,4,2016,4,Bono,Jaman South Municipal,,3,,0,GHS 2016 report,WER9232,,,,1,,,,
2016,2016,4,2016,4,Volta,Central Tongu,,1,,0,GHS 2016 report,WER9232,,,,,,,,
2016,2016,4,2016,4,,,,4,,0,GHS 2016 report,WER9232,,,,,,,,
2017,,,,,,,,0,,0,WER9332,,,,,,,,,
2018,,,,,,,,0,,0,WER9433,,,,,,,,,
2019,,,,,,,,0,,0,WER9534,,,,,,,,,
2020,,,,,,,,0,,0,WER9633,,,,,,,,,
2021,2021,10,2022,11,Savannah,West Gonja,West Gonja,41,,,WER9732,,,sylvatic/savanna to urban,,1,dry,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,2022,11,Savannah,North Gonja,,NA,,,WER9732,,,,,1,,,,
2021,2021,10,2022,11,Savannah,Bole,Tinga,2,,,WER9732,,,,,1,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,,11,Northern,,,3,,,WER9732,WER9732; OEW52-1925120222,,,,,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,,11,Upper West,,"Sissala West, Wa East",3,,,WER9732,WER9732; OEW52-1925120222,,,,,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,,11,Bono,,"Wenchi, Tain, Banda",11,,,WER9732,WER9732; OEW52-1925120222,,,,,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,,11,Eastern,,,1,,,WER9732,WER9732; OEW52-1925120222,,,,,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2021,2021,10,2022,11,"Savannah (West Gonja; North Gonja); Upper West (Sissala West, Wa East), Bono (Wenchi, Tain, Banda)",,,NA,,21,WER9732,WER9732; OEW52-1925120222,,,,,,,"Started in Savannah (West Gonja, North Gonja) spread to Wa East District of Upper West. 2 cases referred from Tinga (Bole) to Wenchi; epicenter was West Gonja district of Savannah region; Oti in initial report but not later WHO report",https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431
2022,,,,,"Ashanti (4), Bono East (1), Eastern (2), Greater Accra (1), Savannah (2) and Upper West (2)",,,12,,1,WER9835,DON431,,,,,,,,
